0.61,0.18,7.6643
0.28,0.01,3.5097
1,0.29,21.857
0.97,0.99,25.727
0.53,0.94,11.523
0.63,0.24,8.2925
0.9,0.67,18.741
0.65,0.65,10.717
0.39,0.33,5.1812
0.84,0.01,13.444
0.6,0.39,8.2911
0.55,0.86,10.79
0.01,0.39,3.3371
0.61,0.74,10.58
0.75,0.2,11.075
0.45,0.62,7.317
0.5,0.66,8.2571
0.48,0.26,5.9218
0.85,0.53,15.755
0.23,0.95,8.6598
0.17,0.79,6.5309
0.38,0.86,8.8016
0.48,0.71,8.3267
0.74,0.55,12.174
0.24,0.44,4.4878
0.11,0.82,6.4275
0.55,0.23,6.7626
0.05,0.88,7.0002
0.08,0.19,2.7989
0.32,0.76,7.1603
0.18,0.72,5.9152
0.18,0.27,3.475
0.37,0.13,4.394
1,0.71,24.16
0.03,0.63,4.5806
0.68,0.92,13.942
0.59,0.08,7.1061
0.94,0.31,18.586
0.39,0.64,6.8905
0.67,0.1,8.7864
0.32,0.01,3.6879
0.67,0.29,9.2637
0.65,0.56,10.021
0.53,0.45,7.4503
0.4,0.29,5.0954
0.14,0.76,6.0842
0.32,0.59,5.8834
0.44,0.58,6.8984
0.69,0.3,9.8866
0.4,0.28,5.0527
0.94,0.34,18.782
0.5,0.19,5.8688
0.74,0.5,11.88
0.65,0.53,9.9528
0.41,0.92,9.7351
0.71,0.67,12.34
0.03,0.21,2.5853
0.29,0.96,9.229
0.3,0.64,6.0138
0.99,0.61,22.868
0.64,0.68,10.818
0.22,0.7,6.0133
0.14,0,2.4292
0.6,0.1,7.2856
0.6,0.23,7.649
0.58,0.52,8.5583
0.55,0.26,6.9221
0,0.75,5.4216
0.05,0.2,2.6249
0.14,0.83,6.788
0.15,0.61,4.9837
0.33,0.98,9.8609
0.67,0.49,10.121
0.08,0.95,7.9502
0.15,0.13,2.8965
0.28,0.73,6.5865
0.04,0.96,7.9209
0.11,0.63,4.8739
0.73,0.51,11.759
0.33,0.45,5.0505
0.08,0.88,7.1013
0.54,0.88,10.812
0.05,0.87,6.8467
0,0.24,2.5658
0.93,0.65,19.883
0.87,0.36,15.677
0.22,0.58,5.1268
0.33,0.91,8.7973
0.69,0.6,11.329
0.97,0.9,24.4
0.71,0.74,12.827
0.98,0.12,20.142
0.64,0.61,10.194
0.43,0.57,6.7885
0.25,0.08,3.3257
0.49,0.96,11.225
0.06,0.89,7.0864
0.29,0.82,7.5735
0.09,0.96,8.1093
0.86,0.95,19.824
0.46,0.18,5.4759
0.64,0.62,10.295
0.28,0.44,4.7508
0.42,0.07,4.6981
0.27,0.99,9.5402
0.39,0.97,10.246
0.46,0.6,7.2508
0.37,0.14,4.4682
0.57,0.92,11.775
0.16,0.25,3.244
0.36,0.04,3.8825
0.85,0.16,14.188
0.17,0.51,4.4734
0.86,0.93,19.64
0.55,0.04,6.2362
1,0.87,25.781
0.89,0.26,16.08
0.23,0.96,8.8163
0.34,0.43,5.1779
0.08,0.26,2.9893
0.23,0.97,8.9054
0.95,0.86,22.924
0.49,0.11,5.5536
0.35,0.92,9.1005
0.36,0.84,8.2378
0.22,0.37,4.0494
0.27,0.39,4.4267
0.78,0.88,16.134
0.86,0.38,15.293
0.11,0.31,3.2616
0.99,0.78,24.307
0.05,0.41,3.4494
0.05,0.1,2.3433
0.86,0.23,14.782
0.46,0.97,10.908
0.47,0.63,7.5187
0.91,0.07,16.427
0.21,0.29,3.6107
0.45,0.92,10.124
0.87,0.97,20.514
0.09,0.79,6.2813
0.58,0.35,7.8825
0.51,0.56,7.5911
0.19,0.63,5.1602
0.52,0.46,7.3669
0.02,0.94,7.5178
0.05,0.06,2.3595
0.04,0.06,2.3277
0.25,0.69,6.1012
0.88,0.8,18.961
0.18,0.14,2.9829
0.09,0.66,5.0909
0.99,0.76,24.063
0.3,0.68,6.2886
0.96,0.3,19.662
0.02,0.85,6.4997
0.7,0.74,12.6
0.71,0.96,15.365
0.92,0.45,18.296
0.73,0.34,10.844
0.43,0.62,7.0607
1,0.91,26.226
0.52,0.85,10.151
0.76,0.74,14.167
0.55,0.12,6.4389
0.06,0.57,4.2467
0.48,0.88,10.006
0.25,0.7,6.0842
0.15,0.58,4.8015
0.21,0.35,3.8215
0.08,0.4,3.4711
0.55,0.33,7.095
0.92,0.9,21.986
0.1,0.81,6.3631
0.4,0.22,4.9534
0.83,0.1,13.274
0.13,0.67,5.3666
0.53,0.46,7.4602
0.97,0.16,19.665
0.27,0.91,8.3758
0.58,0.76,10.176
0.96,0.61,21.252
0.07,0.43,3.5253
0.37,0.82,8.1474
0.84,0.91,18.57
0.56,0.04,6.4177
0.55,0.11,6.4595
0.85,0.55,15.7
0.07,0.07,2.2787
0.91,0.46,17.852
0.96,0.34,19.841
0.51,0.32,6.5332
0.09,0.89,7.2641
0.08,0.13,2.5831
0.86,0.11,14.48
0.61,0.51,9.0126
0.63,0.76,11.142
0.07,0.45,3.7712
0.65,0.3,8.8245
0.34,0.99,10.029
0.84,0.1,13.694
0.23,0.35,4.0053
0.52,0.57,7.9283
0.61,0.69,10.206
0.7,0.62,11.53
0.47,0.28,5.8369
0.09,0.38,3.4462
0.51,0.9,10.629
0.18,0.33,3.6758
0.09,0.78,6.0351
0.34,0.52,5.6905
0.74,0.54,12.129
0.79,0.65,14.372
0.7,0.94,14.734
0.43,0.2,5.0691
0.69,0.64,11.565
0.92,0.62,19.272
0.43,0.84,8.9648
0.23,0.86,7.5901
0.85,0.18,14.338
0.97,0.22,19.82
0.47,0.36,6.2231
0.52,0.02,5.8763
0.08,0.84,6.6121
0.16,0.62,5.0827
0.22,0.75,6.3654
0.4,0.71,7.534
0.16,0.95,8.4323
0.69,0.1,9.1503
0.94,0.42,19.06
0.27,0.95,8.8208
0.03,0.61,4.501
0.81,0.76,15.93
0.69,0.2,9.4447
0.15,0.94,8.1232
0.49,0.38,6.452
0.88,0.05,15.104
0.16,0.33,3.5171
0.77,0.24,11.608
0.92,0.27,17.545
0.57,0.04,6.6675
0.01,0.49,3.7748
0.36,0.21,4.3328
0.45,0.63,7.5027
0.72,0.62,12.153
0.83,0.62,15.525
0.87,0.37,15.709
0.79,0.08,11.959
0.61,0.46,8.7134
0.48,0.73,8.5541
0.78,0.2,11.866
0.83,0.09,13.18
0.91,0.7,19.342
0.06,0.97,8.1919
0.57,0.14,6.8666
0.67,0.45,9.9437
0.08,0.12,2.6281
0.94,0.37,18.899
0.34,0.36,4.7872
0.84,0.55,15.531
0.94,0.71,20.931
0.06,0.94,7.7967
0.12,0.98,8.458
0.86,0.18,14.569
0.86,0.57,16.363
0.43,0.55,6.7283
0.01,0.85,6.4618
0.69,0.91,14.122
0.83,0.24,13.676
0.42,0.24,5.1432
0.36,0.48,5.4826
0.88,0.48,16.605
0.01,0.11,2.3234
0.61,0.31,8.0856
0.57,0.33,7.4616
0.39,0.05,4.2387
0.87,0.4,15.864
0.68,0.7,11.699
0.91,0.64,18.89
0.52,0.3,6.5983
0.04,1,8.548
0.85,0.67,16.677
0.87,0.01,14.6
0.11,0.79,6.2211
0.96,0.85,23.322
0.48,0.6,7.4587
0.95,0.24,18.964
0.9,0.85,20.375
0.05,0.61,4.5014
0.03,0.84,6.4525
0.6,0.83,11.324
0.06,0.46,3.6742
0.03,0.57,4.2152
0.77,0.85,15.428
0.53,0.92,11.169
0.53,0.47,7.5076
0.43,0.69,7.5573
0.69,0.96,14.774
0.65,0.16,8.3889
0.32,0.19,4.04
0.09,0.25,2.8957
0.61,0.28,7.8889
0.28,0.68,6.1902
0.13,0.44,3.8085
0.42,0.94,10.143
0.41,0.24,5.0991
0.83,0.67,15.884
0.67,0.01,8.5171
0.86,0.66,16.875
0.44,0.15,5.177
0.2,0.6,5.1256
0.94,0.08,17.946
0.55,0.47,7.762
0.76,0.72,14.036
0.77,0.87,15.787
0.88,0.27,15.669
0.58,0.48,8.3773
0.85,0.04,13.883
0.03,0.1,2.2797
0.13,0.11,2.6685
0.84,0.14,13.878
0.39,0.81,8.3002
0.08,0.18,2.6912
0.85,0.83,18.18
0.35,0.29,4.4889
0.01,0.45,3.4191
0.37,0.97,9.9338
0.44,0.78,8.5364
0.9,0.46,17.477
0.94,0.84,22.172
0.91,0.39,17.382
0.03,0.55,4.0296
0.83,0.02,13.08
0.2,0.93,8.2921
0.04,0.6,4.4954
0.89,0.09,15.649
0.7,0.38,10.273
0.04,0.16,2.4573
0.92,0.38,17.999
0.22,0.13,3.2369
0.33,0.24,4.2619
0.86,0.77,17.755
0.03,0.01,2.197
0.02,0.16,2.4797
0.83,0.94,18.551
0.33,0.53,5.5514
0.13,0.15,2.8381
0.88,0,15.06
0.2,0.57,4.8806
0.28,0.39,4.444
0.43,0.41,5.9426
0.91,0.21,16.892
0.37,0.18,4.3551
0.59,0.81,10.948
0.38,0.66,6.9005
0.07,0.82,6.4576
0.42,0.49,6.1192
0.8,0.66,14.877
0.65,0.03,8.165
0.16,0.03,2.6595
0.7,0.59,11.439
