0.62,1.3834
0.643,1.445
0.752,1.5358
0.25,1.0114
0.139,1.0493
0.323,1.0248
0.09,0.92894
0.697,1.418
0.275,1.1247
0.436,1.1331
0.956,1.9648
0.685,1.4507
0.257,1.0497
0.732,1.5517
0.704,1.5677
0.445,1.2088
0.506,1.2289
0.45,1.2601
0.287,0.91774
0.324,1.2054
0.536,1.4497
0.369,1.1168
0.556,1.2635
0.124,1.0734
0.038,0.99474
0.488,1.195
0.439,1.2296
0.285,1.1131
0.625,1.3442
0.069,0.945
0.584,1.2651
0.786,1.6777
0.37,1.1852
0.627,1.411
0.998,2.008
0.546,1.3209
0.351,1.0316
0.93,1.8726
0.813,1.6512
0.718,1.5868
0.72,1.4968
0.969,1.9312
0.405,1.2008
0.156,1.0386
0.659,1.4372
0.669,1.4701
0.472,1.2132
0.227,1.0619
0.401,1.1196
0.988,2.0087
0.561,1.3361
0.339,1.1414
0.9,1.8456
0.818,1.6551
0.529,1.4
0.4,1.0733
0.296,1.0673
0.035,0.99756
0.91,1.8485
0.924,1.8782
0.013,0.88824
0.58,1.2971
0.083,0.98776
0.774,1.6313
0.939,1.7995
0.125,1.0375
0.879,1.7354
0.724,1.5675
0.379,1.2401
0.795,1.6071
0.516,1.3342
0.386,1.1131
0.48,1.2443
0.63,1.3202
0.512,1.1892
0.767,1.5524
0.11,1.0328
0.072,0.9858
0.034,1.1229
0.775,1.6277
0.107,0.96926
0.466,1.1852
0.174,0.99607
0.319,0.9953
0.102,0.99027
0.586,1.2394
0.827,1.7139
0.184,0.97549
0.337,1.1003
0.654,1.4535
0.465,1.2528
0.798,1.6708
0.328,1.1461
0.524,1.2796
0.243,1.0438
0.42,1.1677
0.381,1.1444
0.722,1.4734
0.861,1.8219
0.113,0.94073
0.354,1.2227
0.484,1.1996
0.909,1.8442
0.725,1.5357
0.176,1.0315
0.776,1.563
0.457,1.13
0.642,1.4577
0.07,1.0157
0.443,1.0833
0.81,1.586
0.947,1.9115
0.203,1.1003
0.671,1.4981
0.577,1.3402
0.303,1.0183
0.841,1.662
0.723,1.517
0.075,0.98363
0.105,1.1228
0.518,1.2726
0.352,0.94012
0.391,1.2625
0.044,0.97147
0.318,0.9994
0.154,0.98673
0.017,1.0279
0.587,1.3231
0.871,1.768
0.523,1.2648
0.632,1.422
0.307,1.0965
0.77,1.6035
0.38,1.0978
0.315,1.1557
0.692,1.4713
0.114,1.0161
0.596,1.3217
0.193,1.0134
0.783,1.6508
0.126,1.0125
0.959,2.0046
0.826,1.7222
0.301,1.0483
0.316,1.0954
0.071,0.92222
0.635,1.4025
0.27,1.1461
0.1,1.0327
0.169,1.0096
0.252,1.0633
0.161,1.068
0.636,1.3319
0.967,1.9239
0.341,1.0676
0.633,1.4495
0.763,1.5012
0.121,0.86474
0.334,1.0295
0.588,1.3914
0.578,1.326
0.277,1.012
0.025,0.85522
0.736,1.4782
0.872,1.7741
0.565,1.3687
0.066,1.047
0.345,1.1509
0.815,1.664
0.437,1.1594
0.163,1.0072
0.742,1.5365
0.348,1.1832
0.068,1.0158
0.039,1.061
0.077,1.0367
0.812,1.6166
0.945,1.9073
0.396,1.0923
0.645,1.3899
0.428,1.2476
0.934,1.8746
0.868,1.7969
0.727,1.5217
0.35,1.1003
0.483,1.2796
0.806,1.6645
0.521,1.2992
0.713,1.5223
0.143,1.1177
0.673,1.3552
0.755,1.6249
0.589,1.3605
0.594,1.2964
0.13,1.0249
0.819,1.6194
0.615,1.3616
0.092,1.0367
0.167,1.0674
0.383,1.0269
0.87,1.7295
0.055,1.1034
0.238,0.99166
0.058,1.042
0.896,1.9332
0.403,1.2183
0.283,1.1468
0.388,1.1796
0.54,1.3949
0.968,1.8914
0.759,1.4983
0.583,1.2845
0.733,1.4794
0.86,1.7757
0.8,1.7196
0.655,1.4226
0.446,1.1338
0.271,1.131
0.717,1.4748
0.384,1.1963
0.84,1.687
0.104,1.0348
0.75,1.6924
0.551,1.2859
0.05,0.92218
0.525,1.3075
0.846,1.6444
0.031,1.0292
0.848,1.7726
0.884,1.7591
0.983,2.0185
0.887,1.8066
0.171,1.0802
0.406,1.1731
0.237,1.065
0.665,1.5444
0.608,1.3866
0.003,1.1049
0.253,1.0643
0.485,1.1877
0.284,1.0349
0.997,1.915
0.766,1.641
0.398,1.0927
0.197,1.1343
0.751,1.5905
0.937,1.9208
0.973,1.9675
0.535,1.3466
0.474,1.3014
0.852,1.792
0.6,1.2864
0.919,1.752
0.34,1.1984
0.021,0.97436
0.553,1.2445
0.74,1.5049
0.768,1.5646
0.999,2.033
0.85,1.7033
0.514,1.2791
0.569,1.284
0.865,1.8233
0.211,1.1012
0.687,1.4431
0.499,1.2532
0.326,1.1492
0.298,1.1472
0.504,1.2369
0.527,1.2153
0.749,1.5511
0.247,1.1364
0.127,1.032
0.88,1.7943
0.231,1.051
0.291,1.0975
0.088,1.0108
0.592,1.498
0.293,1.0947
0.695,1.432
0.16,0.99011
0.892,1.7862
0.809,1.589
0.593,1.2937
0.832,1.7822
0.195,1.0203
0.397,1.1436
0.322,1.0691
0.634,1.3178
0.797,1.6208
0.595,1.2597
0.991,1.9962
0.048,1.0588
0.746,1.5949
0.876,1.6992
0.92,1.7475
0.889,1.8123
0.084,1.0594
0.471,1.2653
0.314,1.1176
0.133,1.0218
0.621,1.3457
0.043,1.0594
0.305,1.0598
0.059,1.0657
0.554,1.2849
0.338,1.1031
0.882,1.8208
0.489,1.2563
0.676,1.442
0.286,1.1113
0.76,1.5045
0.99,1.8336
0.498,1.2914
0.201,1.0999
0.849,1.8253
0.796,1.6974
0.68,1.4468
0.855,1.701
0.148,1.0598
0.895,1.8498
0.02,1.0137
0.202,1.0096
0.302,1.081
0.648,1.4568
0.962,2.0524
0.317,1.0738
0.564,1.3946
0.825,1.6578
0.393,1.0982
0.132,1.0524
0.663,1.3978
0.703,1.5283
0.067,1.0421
0.413,1.135
0.3,1.2034
0.711,1.4362
0.29,1.0831
0.093,1.026
0.816,1.6067
0.716,1.5838
0.189,1.1198
0.664,1.3293
0.73,1.491
0.94,1.8968
0.949,1.8912
0.867,1.8417
0.447,1.2763
0.672,1.6237
0.735,1.535
0.866,1.8037
0.737,1.5254
0.449,1.1955
0.033,1.024
0.459,1.1632
0.694,1.5766
0.571,1.3303
0.984,1.992
0.731,1.6284
0.21,0.93703
0.279,1.0812
0.492,1.1888
0.52,1.2862
0.177,1.1439
0.915,1.7343
0.251,0.96665
0.023,0.97538
0.266,1.0979
0.55,1.3736
0.344,1.1105
0.916,1.7509
0.598,1.3325
0.085,1.0159
0.382,1.1995
0.128,0.92655
0.65,1.3975
0.135,0.9892
0.43,1.1639
0.431,1.1574
0.188,0.98407
0.644,1.4757
0.321,1.0836
0.883,1.8138
0.782,1.5502
0.364,1.1297
0.706,1.5535
0.493,1.2499
0.14,0.98096
0.014,1.0054
0.71,1.4511
0.091,1.0453
0.28,1.0883
0.424,1.1244
0.505,1.2938
0.689,1.5127
0.462,1.315
0.294,1.1101
0.719,1.5653
0.785,1.567
0.686,1.5388
0.029,1.0585
0.308,1.1406
0.153,1.007
0.392,1.2242
0.609,1.3308
0.549,1.2663
0.463,1.2017
0.497,1.258
0.027,1.005
0.147,1.0458
0.018,0.98724
0.276,1.1529
0.601,1.3926
0.69,1.5126
0.342,1.0812
0.141,1.0402
0.605,1.4402
0.01,0.96361
0.183,1.0614
0.693,1.472
